code,diagnosis_en,diagnosis_sr_latn,diagnosis_ru,diagnosis_lat
V44.4,Car occupant injured in collision with heavy transport vehicle or bus: Person injured while boarding or alighting,"Putnik automobila povređen u sudaru sa teškim transportnim vozilom ili autobusom, osoba povređena u toku ulaženja ili izlaženja","Лицо, пострадавшее при посадке или высадке при столкновении легкового автомобиля с тяжелым грузовым автомобилем или автобусом","#Putnik automobila povređen u sudaru sa teškim transportnim vozilom ili autobusom, osoba povređena u toku ulaženja ili izlaženja"
V44.5,Car occupant injured in collision with heavy transport vehicle or bus: Driver injured in traffic accident,"Putnik automobila povređen u sudaru sa teškim transportnim vozilom ili autobusom, vozač povređen u saobraćajnom udesu","Водитель, пострадавший в результате дорожного несчастного случая, при столкновении легкового автомобиля с тяжелым грузовым автомобилем или автобусом","#Putnik automobila povređen u sudaru sa teškim transportnim vozilom ili autobusom, vozač povređen u saobraćajnom udesu"
V44.6,Car occupant injured in collision with heavy transport vehicle or bus: Passenger injured in traffic accident,"Putnik automobila povređen u sudaru sa teškim transportnim vozilom ili autobusom, prolaznik povređen u saobraćajnom udesu","Пассажир, пострадавший в результате дорожного несчастного случая, при столкновении легкового автомобиля с тяжелым грузовым автомобилем или автобусом","#Putnik automobila povređen u sudaru sa teškim transportnim vozilom ili autobusom, prolaznik povređen u saobraćajnom udesu"
V44.7,Car occupant injured in collision with heavy transport vehicle or bus: Person on outside of vehicle injured in traffic accident,"Putnik automobila povređen u sudaru sa teškim transportnim vozilom ili autobusom, osoba van vozila povređena u saobraćajnom udesu","Лицо, находившееся вне транспортного средства и пострадавшее в результате дорожного несчастного случая, при столкновении легкового автомобиля с тяжелым грузовым автомобилем или автобусом","#Putnik automobila povređen u sudaru sa teškim transportnim vozilom ili autobusom, osoba van vozila povređena u saobraćajnom udesu"
V44.9,Car occupant injured in collision with heavy transport vehicle or bus: Unspecified car occupant injured in traffic accident,"Putnik automobila povređen u sudaru sa teškim transportnim vozilom ili autobusom, putnik (nepoznat) automobila povređen u saobraćajnom udesu","Лицо без дополнительного уточнения, находившееся в легковом автомобиле и пострадавшее в результате дорожного несчастного случая, при его столкновении с тяжелым грузовым автомобилем или автобусом","#Putnik automobila povređen u sudaru sa teškim transportnim vozilom ili autobusom, putnik (nepoznat) automobila povređen u saobraćajnom udesu"
V45,Car occupant injured in collision with railway train or railway vehicle,Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi,"Лицо, находившееся в легковом автомобиле и пострадавшее при его столкновении с поездом или другим железнодорожным транспортным средством",#Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi
V45.0,Car occupant injured in collision with railway train or railway vehicle: Driver injured in nontraffic accident,"Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi, vozač povređen u nesaobraćajnom udesu","Водитель, пострадавший в результате недорожного несчастного случая, при столкновении легкового автомобиля с поездом или другим железнодорожным транспортным средством","#Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi, vozač povređen u nesaobraćajnom udesu"
V45.1,Car occupant injured in collision with railway train or railway vehicle: Passenger injured in nontraffic accident,"Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi, prolaznik povređen u nesaobraćajnom udesu","Пассажир, пострадавший в результате недорожного несчастного случая, при столкновении легкового автомобиля с поездом или другим железнодорожным транспортным средством","#Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi, prolaznik povređen u nesaobraćajnom udesu"
V45.2,Car occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in nontraffic accident,"Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi, osoba van vozila povređena u nesaobraćajnom udesu","Лицо, находившееся вне транспортного средства и пострадавшее в результате недорожного несчастного случая, при столкновении легкового автомобиля с поездом или другим железнодорожным транспортным средством","#Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi, osoba van vozila povređena u nesaobraćajnom udesu"
V45.3,Car occupant injured in collision with railway train or railway vehicle: Unspecified car occupant injured in nontraffic accident,"Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi, putnik (nepoznat) automobila povređen u nesaobraćajnom udesu","Лицо без дополнительного уточнения, находившееся в легковом автомобиле и пострадавшее в результате недорожного несчастного случая, при его столкновении с поездом или другим железнодорожным транспортным средством","#Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi, putnik (nepoznat) automobila povređen u nesaobraćajnom udesu"
V45.4,Car occupant injured in collision with railway train or railway vehicle: Person injured while boarding or alighting,"Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi, osoba povređena u toku ulaženja ili izlaženja","Лицо, пострадавшее при посадке или высадке при столкновении легкового автомобиля с поездом или другим железнодорожным транспортным средством","#Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi, osoba povređena u toku ulaženja ili izlaženja"
V45.5,Car occupant injured in collision with railway train or railway vehicle: Driver injured in traffic accident,"Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi, vozač povređen u saobraćajnom udesu","Водитель, пострадавший в результате дорожного несчастного случая, при столкновении легкового автомобиля с поездом или другим железнодорожным транспортным средством","#Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi, vozač povređen u saobraćajnom udesu"
V45.6,Car occupant injured in collision with railway train or railway vehicle: Passenger injured in traffic accident,"Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi, prolaznik povređen u saobraćajnom udesu","Пассажир, пострадавший в результате дорожного несчастного случая, при столкновении легкового автомобиля с поездом или другим железнодорожным транспортным средством","#Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi, prolaznik povređen u saobraćajnom udesu"
V45.7,Car occupant injured in collision with railway train or railway vehicle: Person on outside of vehicle injured in traffic accident,"Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi, osoba van vozila povređena u saobraćajnom udesu","Лицо, находившееся вне транспортного средства и пострадавшее в результате дорожного несчастного случая, при столкновении легкового автомобиля с поездом или другим железнодорожным транспортным средством","#Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi, osoba van vozila povređena u saobraćajnom udesu"
V45.9,Car occupant injured in collision with railway train or railway vehicle: Unspecified car occupant injured in traffic accident,"Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi, putnik (nepoznat) automobila povređen u saobraćajnom udesu","Лицо без дополнительного уточнения, находившееся в легковом автомобиле и пострадавшее в результате дорожного несчастного случая, при его столкновении с поездом или другим железнодорожным транспортным средством","#Putnik automobila povređen u sudaru sa vozom ili vozilom na železničkoj pruzi, putnik (nepoznat) automobila povređen u saobraćajnom udesu"
V46,Car occupant injured in collision with other nonmotor vehicle,Putnik automobila povređen u sudaru sa drugim vozilom bez motora,"Лицо, находившееся в легковом автомобиле и пострадавшее при его столкновении с другим немоторным транспортным средством",#Putnik automobila povređen u sudaru sa drugim vozilom bez motora
V46.0,Car occupant injured in collision with other nonmotor vehicle: Driver injured in nontraffic accident,"Putnik automobila povređen u sudaru sa drugim vozilom bez motora, vozač povređen u nesaobraćajnom udesu","Водитель, пострадавший в результате недорожного несчастного случая, при столкновении легкового автомобиля с другим немоторным транспортным средством","#Putnik automobila povređen u sudaru sa drugim vozilom bez motora, vozač povređen u nesaobraćajnom udesu"
V46.1,Car occupant injured in collision with other nonmotor vehicle: Passenger injured in nontraffic accident,"Putnik automobila povređen u sudaru sa drugim vozilom bez motora, prolaznik povređen u nesaobraćajnom udesu","Пассажир, пострадавший в результате недорожного несчастного случая, при столкновении легкового автомобиля с другим немоторным транспортным средством","#Putnik automobila povređen u sudaru sa drugim vozilom bez motora, prolaznik povređen u nesaobraćajnom udesu"
V46.2,Car occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in nontraffic accident,"Putnik automobila povređen u sudaru sa drugim vozilom bez motora, osoba van vozila povređena u nesaobraćajnom udesu","Лицо, находившееся вне транспортного средства и пострадавшее в результате недорожного несчастного случая, при столкновении легкового автомобиля с другим немоторным транспортным средством","#Putnik automobila povređen u sudaru sa drugim vozilom bez motora, osoba van vozila povređena u nesaobraćajnom udesu"
V46.3,Car occupant injured in collision with other nonmotor vehicle: Unspecified car occupant injured in nontraffic accident,"Putnik automobila povređen u sudaru sa drugim vozilom bez motora, putnik (nepoznat) automobila povređen u nesaobraćajnom udesu","Лицо без дополнительного уточнения, находившееся в легковом автомобиле и пострадавшее в результате недорожного несчастного случая, при его столкновении с другим немоторным транспортным средством","#Putnik automobila povređen u sudaru sa drugim vozilom bez motora, putnik (nepoznat) automobila povređen u nesaobraćajnom udesu"
V46.4,Car occupant injured in collision with other nonmotor vehicle: Person injured while boarding or alighting,"Putnik automobila povređen u sudaru sa drugim vozilom bez motora, osoba povređena u toku ulaženja ili izlaženja","Лицо, пострадавшее при посадке или высадке при столкновении легкового автомобиля с другим немоторным транспортным средством","#Putnik automobila povređen u sudaru sa drugim vozilom bez motora, osoba povređena u toku ulaženja ili izlaženja"
V46.5,Car occupant injured in collision with other nonmotor vehicle: Driver injured in traffic accident,"Putnik automobila povređen u sudaru sa drugim vozilom bez motora, vozač povređen u saobraćajnom udesu","Водитель, пострадавший в результате дорожного несчастного случая, при столкновении легкового автомобиля с другим немоторным транспортным средством","#Putnik automobila povređen u sudaru sa drugim vozilom bez motora, vozač povređen u saobraćajnom udesu"
V46.6,Car occupant injured in collision with other nonmotor vehicle: Passenger injured in traffic accident,"Putnik automobila povređen u sudaru sa drugim vozilom bez motora, prolaznik povređen u saobraćajnom udesu","Пассажир, пострадавший в результате дорожного несчастного случая, при столкновении легкового автомобиля с другим немоторным транспортным средством","#Putnik automobila povređen u sudaru sa drugim vozilom bez motora, prolaznik povređen u saobraćajnom udesu"
V46.7,Car occupant injured in collision with other nonmotor vehicle: Person on outside of vehicle injured in traffic accident,"Putnik automobila povređen u sudaru sa drugim vozilom bez motora, osoba van vozila povređena u saobraćajnom udesu","Лицо, находившееся вне транспортного средства и пострадавшее в результате дорожного несчастного случая, при столкновении легкового автомобиля с другим немоторным транспортным средством","#Putnik automobila povređen u sudaru sa drugim vozilom bez motora, osoba van vozila povređena u saobraćajnom udesu"
V46.9,Car occupant injured in collision with other nonmotor vehicle: Unspecified car occupant injured in traffic accident,"Putnik automobila povređen u sudaru sa drugim vozilom bez motora, putnik (nepoznat) automobila povređen u saobraćajnom udesu","Лицо без дополнительного уточнения, находившееся в легковом автомобиле и пострадавшее в результате дорожного несчастного случая, при его столкновении с другим немоторным транспортным средством","#Putnik automobila povređen u sudaru sa drugim vozilom bez motora, putnik (nepoznat) automobila povređen u saobraćajnom udesu"
V47,Car occupant injured in collision with fixed or stationary object,Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom,"Лицо, находившееся в легковом автомобиле и пострадавшее при его столкновении с закрепленным или стационарным объектом",#Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom
V47.0,Car occupant injured in collision with fixed or stationary object: Driver injured in nontraffic accident,"Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom, vozač povređen u nesaobraćajnom udesu","Водитель, пострадавший в результате недорожного несчастного случая, при столкновении легкового автомобиля с закрепленным или стационарным объектом","#Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom, vozač povređen u nesaobraćajnom udesu"
V47.1,Car occupant injured in collision with fixed or stationary object: Passenger injured in nontraffic accident,"Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom, prolaznik povređen u nesaobraćajnom udesu","Пассажир, пострадавший в результате недорожного несчастного случая, при столкновении легкового автомобиля с закрепленным или стационарным объектом","#Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom, prolaznik povređen u nesaobraćajnom udesu"
V47.2,Car occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in nontraffic accident,"Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom, osoba van vozila povređena u nesaobraćajnom udesu","Лицо, находившееся вне транспортного средства и пострадавшее в результате недорожного несчастного случая, при столкновении легкового автомобиля с закрепленным или стационарным объектом","#Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom, osoba van vozila povređena u nesaobraćajnom udesu"
V47.3,Car occupant injured in collision with fixed or stationary object: Unspecified car occupant injured in nontraffic accident,"Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom, putnik (nepoznat) automobila povređen u nesaobraćajnom udesu","Лицо без дополнительного уточнения, находившееся в легковом автомобиле и пострадавшее в результате недорожного несчастного случая, при его столкновении с закрепленным или стационарным объектом","#Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom, putnik (nepoznat) automobila povređen u nesaobraćajnom udesu"
V47.4,Car occupant injured in collision with fixed or stationary object: Person injured while boarding or alighting,"Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom, osoba povređena u toku ulaženja ili izlaženja","Лицо, пострадавшее при посадке или высадке при столкновении легкового автомобиля с закрепленным или стационарным объектом","#Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom, osoba povređena u toku ulaženja ili izlaženja"
V47.5,Car occupant injured in collision with fixed or stationary object: Driver injured in traffic accident,"Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom, vozač povređen u saobraćajnom udesu","Водитель, пострадавший в результате дорожного несчастного случая, при столкновении легкового автомобиля с закрепленным или стационарным объектом","#Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom, vozač povređen u saobraćajnom udesu"
V47.6,Car occupant injured in collision with fixed or stationary object: Passenger injured in traffic accident,"Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom, prolaznik povređen u saobraćajnom udesu","Пассажир, пострадавший в результате дорожного несчастного случая, при столкновении легкового автомобиля с закрепленным или стационарным объектом","#Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom, prolaznik povređen u saobraćajnom udesu"
V47.7,Car occupant injured in collision with fixed or stationary object: Person on outside of vehicle injured in traffic accident,"Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom, osoba van vozila povređena u saobraćajnom udesu","Лицо, находившееся вне транспортного средства и пострадавшее в результате дорожного несчастного случая, при столкновении легкового автомобиля с закрепленным или стационарным объектом","#Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom, osoba van vozila povređena u saobraćajnom udesu"
V47.9,Car occupant injured in collision with fixed or stationary object: Unspecified car occupant injured in traffic accident,"Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom, putnik (nepoznat) automobila povređen u saobraćajnom udesu","Лицо без дополнительного уточнения, находившееся в легковом автомобиле и пострадавшее в результате дорожного несчастного случая, при его столкновении с закрепленным или стационарным объектом","#Putnik automobila povređen u sudaru sa fiksiranim ili nepokretnim predmetom, putnik (nepoznat) automobila povređen u saobraćajnom udesu"
V48,Car occupant injured in noncollision transport accident,Putnik automobila povređen u saobraćajnom udesu bez sudara,"Лицо, находившееся в легковом автомобиле и пострадавшее в результате транспортного несчастного случая без столкновения",#Putnik automobila povređen u saobraćajnom udesu bez sudara
V48.0,Car occupant injured in noncollision transport accident: Driver injured in nontraffic accident,"Putnik automobila povređen u saobraćajnom udesu bez sudara, vozač povređen u nesaobraćajnom udesu","Водитель легкового автомобиля, пострадавший в результате недорожного несчастного случая без столкновения","#Putnik automobila povređen u saobraćajnom udesu bez sudara, vozač povređen u nesaobraćajnom udesu"
V48.1,Car occupant injured in noncollision transport accident: Passenger injured in nontraffic accident,"Putnik automobila povređen u saobraćajnom udesu bez sudara, prolaznik povređen u nesaobraćajnom udesu","Пассажир легкового автомобиля, пострадавший в результате недорожного несчастного случая без столкновения","#Putnik automobila povređen u saobraćajnom udesu bez sudara, prolaznik povređen u nesaobraćajnom udesu"
V48.2,Car occupant injured in noncollision transport accident: Person on outside of vehicle injured in nontraffic accident,"Putnik automobila povređen u saobraćajnom udesu bez sudara, osoba van vozila povređena u nesaobraćajnom udesu","Лицо, находившееся вне легкового автомобиля и пострадавшее в результате недорожного несчастного случая без столкновения","#Putnik automobila povređen u saobraćajnom udesu bez sudara, osoba van vozila povređena u nesaobraćajnom udesu"
V48.3,Car occupant injured in noncollision transport accident: Unspecified car occupant injured in nontraffic accident,"Putnik automobila povređen u saobraćajnom udesu bez sudara, putnik (nepoznat) automobila povređen u nesaobraćajnom udesu","Лицо без дополнительного уточнения, находившееся в легковом автомобиле и пострадавшее в результате недорожного несчастного случая без столкновения","#Putnik automobila povređen u saobraćajnom udesu bez sudara, putnik (nepoznat) automobila povređen u nesaobraćajnom udesu"
V48.4,Car occupant injured in noncollision transport accident: Person injured while boarding or alighting,"Putnik automobila povređen u saobraćajnom udesu bez sudara, osoba povređena u toku ulaženja ili izlaženja","Лицо, пострадавшее при посадке или высадке без столкновения","#Putnik automobila povređen u saobraćajnom udesu bez sudara, osoba povređena u toku ulaženja ili izlaženja"
V48.5,Car occupant injured in noncollision transport accident: Driver injured in traffic accident,"Putnik automobila povređen u saobraćajnom udesu bez sudara, vozač povređen u saobraćajnom udesu","Водитель легкового автомобиля, пострадавший в результате дорожного несчастного случая без столкновения","#Putnik automobila povređen u saobraćajnom udesu bez sudara, vozač povređen u saobraćajnom udesu"
V48.6,Car occupant injured in noncollision transport accident: Passenger injured in traffic accident,"Putnik automobila povređen u saobraćajnom udesu bez sudara, prolaznik povređen u saobraćajnom udesu","Пассажир легкового автомобиля, пострадавший в результате дорожного несчастного случая без столкновения","#Putnik automobila povređen u saobraćajnom udesu bez sudara, prolaznik povređen u saobraćajnom udesu"
V48.7,Car occupant injured in noncollision transport accident: Person on outside of vehicle injured in traffic accident,"Putnik automobila povređen u saobraćajnom udesu bez sudara, osoba van vozila povređena u saobraćajnom udesu","Лицо, находившееся вне легкового автомобиля и пострадавшее в результате дорожного несчастного случая без столкновения","#Putnik automobila povređen u saobraćajnom udesu bez sudara, osoba van vozila povređena u saobraćajnom udesu"
V48.9,Car occupant injured in noncollision transport accident: Unspecified car occupant injured in traffic accident,"Putnik automobila povređen u saobraćajnom udesu bez sudara, putnik (nepoznat) automobila povređen u saobraćajnom udesu","Лицо без дополнительного уточнения, находившееся в легковом автомобиле и пострадавшее в результате дорожного несчастного случая без столкновения","#Putnik automobila povređen u saobraćajnom udesu bez sudara, putnik (nepoznat) automobila povređen u saobraćajnom udesu"
V49,Car occupant injured in other and unspecified transport accidents,Putnik automobila povređen u drugim i neoznačenim saobraćajnim udesima,"Лицо, находившееся в легковом автомобиле и пострадавшее в результате другого и неуточненного транспортного несчастного случая",#Putnik automobila povređen u drugim i neoznačenim saobraćajnim udesima
V49.0,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident,Vozač povređen u sudaru sa drugim i neoznačenim motornim vozilom u nesaobraćajnom udesu,"Водитель, пострадавший при столкновении с другим и неуточненным мототранспортным средством в результате недорожного несчастного случая",#Vozač povređen u sudaru sa drugim i neoznačenim motornim vozilom u nesaobraćajnom udesu
V49.1,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident,Prolaznik povređen u sudaru sa drugim i neoznačenim motornim vozilom u nesaobraćajnom udesu,"Пассажир, пострадавший при столкновении с другим и неуточненным мототранспортным средством в результате недорожного несчастного случая",#Prolaznik povređen u sudaru sa drugim i neoznačenim motornim vozilom u nesaobraćajnom udesu
V49.2,Unspecified car occupant injured in collision with other and unspecified motor vehicles in nontraffic accident,Putnik (nepoznat) automobila povređen u sudaru sa drugim i neoznačenim motornim vozilima u nesaobraćajnom udesu,"Лицо без дополнительного уточнения, находившееся в легковом автомобиле и пострадавшее при его столкновении с другими и неуточненными мототранспортными средствами в результате недорожного несчастного случая",#Putnik (nepoznat) automobila povređen u sudaru sa drugim i neoznačenim motornim vozilima u nesaobraćajnom udesu
V49.3,Car occupant [any] injured in unspecified nontraffic accident,Putnik automobila (svaki) povređen u neoznačenom nesaobraćajnom udesu,"Лицо (любое), находившееся в легковом автомобиле и пострадавшее в результате неуточненного недорожного несчастного случая",#Putnik automobila (svaki) povređen u neoznačenom nesaobraćajnom udesu
V49.4,Driver injured in collision with other and unspecified motor vehicles in traffic accident,Vozač povređen u sudaru sa drugim i neoznačenim motornim vozilom u saobraćajnom udesu,"Водитель, пострадавший при столкновении с другими и неуточненными мототранспортными средствами в результате дорожного несчастного случая",#Vozač povređen u sudaru sa drugim i neoznačenim motornim vozilom u saobraćajnom udesu
V49.5,Passenger injured in collision with other and unspecified motor vehicles in traffic accident,Prolaznik povređen u sudaru sa drugim i neoznačenim motornim vozilom u saobraćajnom udesu,"Пассажир, пострадавший при столкновении с другими и неуточненными мототранспортными средствами в результате дорожного несчастного случая",#Prolaznik povređen u sudaru sa drugim i neoznačenim motornim vozilom u saobraćajnom udesu
V49.6,Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident,Putnik (nepoznat) automobila povređen u sudaru sa drugim i neoznačenim motornim vozilima u saobraćajnom udesu,"Лицо без дополнительного уточнения, находившееся в легковом автомобиле и пострадавшее при его столкновении с другими и неуточненными мототранспортными средствами в результате дорожного несчастного случая",#Putnik (nepoznat) automobila povređen u sudaru sa drugim i neoznačenim motornim vozilima u saobraćajnom udesu
V49.8,Car occupant [any] injured in other specified transport accidents,Putnik automobila (svaki) povređen u drugim označenim saobraćajnim udesima,"Лицо (любое), находившееся в легковом автомобиле и пострадавшее в результате других уточненных дорожных несчастных случаев",#Putnik automobila (svaki) povređen u drugim označenim saobraćajnim udesima
V49.9,Car occupant [any] injured in unspecified traffic accident,Putnik automobila (svaki) povređen u neoznačenom saobraćajnom udesu,"Лицо (любое), находившееся в легковом автомобиле и пострадавшее в результате неуточненного дорожного несчастного случая",#Putnik automobila (svaki) povređen u neoznačenom saobraćajnom udesu
V50,Occupant of pick-up truck or van injured in collision with pedestrian or animal,Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom,"Лицо, находившееся в грузовом автомобиле типа пикап или фургоне и пострадавшее при его столкновении с пешеходом или животным",#Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom
V50.0,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Driver injured in nontraffic accident,"Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom, vozač povređen u nesaobraćajnom udesu","Водитель, пострадавший в результате недорожного несчастного случая, при столкновении грузового автомобиля типа пикап или фургон с пешеходом или животным","#Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom, vozač povređen u nesaobraćajnom udesu"
V50.1,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Passenger injured in nontraffic accident,"Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom, prolaznik povređen u nesaobraćajnom udesu","Пассажир, пострадавший в результате недорожного несчастного случая, при столкновении грузового автомобиля типа пикап или фургон с пешеходом или животным","#Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom, prolaznik povređen u nesaobraćajnom udesu"
V50.2,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Person on outside of vehicle injured in nontraffic accident,"Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom, osoba van vozila povređena u nesaobraćajnom udesu","Лицо, находившееся вне транспортного средства и пострадавшее в результате недорожного несчастного случая, при столкновении грузового автомобиля типа пикап или фургон с пешеходом или животным","#Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom, osoba van vozila povređena u nesaobraćajnom udesu"
V50.3,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Unspecified occupant of pick-up truck or van injured in nontraffic accident,"Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom, putnik (nepoznat) dostavnog vozila ili kamiona povređen u nesaobraćajnom udesu","Лицо без дополнительного уточнения, находившееся в грузовом автомобиле типа пикап или фургон и пострадавшее в результате недорожного несчастного случая, при его столкновении с пешеходом или животным","#Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom, putnik (nepoznat) dostavnog vozila ili kamiona povređen u nesaobraćajnom udesu"
V50.4,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Person injured while boarding or alighting,"Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom, osoba povređena u toku ulaženja ili izlaženja","Лицо, пострадавшее при посадке или высадке при столкновении грузового автомобиля типа пикап или фургон с пешеходом или животным","#Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom, osoba povređena u toku ulaženja ili izlaženja"
V50.5,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Driver injured in traffic accident,"Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom, vozač povređen u saobraćajnom udesu","Водитель, пострадавший в результате дорожного несчастного случая, при столкновении грузового автомобиля типа пикап или фургон с пешеходом или животным","#Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom, vozač povređen u saobraćajnom udesu"
V50.6,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Passenger injured in traffic accident,"Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom, prolaznik povređen u saobraćajnom udesu","Пассажир, пострадавший в результате дорожного несчастного случая, при столкновении грузового автомобиля типа пикап или фургон с пешеходом или животным","#Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom, prolaznik povređen u saobraćajnom udesu"
V50.7,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Person on outside of vehicle injured in traffic accident,"Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom, osoba van vozila povređena u saobraćajnom udesu","Лицо, находившееся вне транспортного средства и пострадавшее в результате дорожного несчастного случая, при столкновении грузового автомобиля типа пикап или фургон с пешеходом или животным","#Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom, osoba van vozila povređena u saobraćajnom udesu"
V50.9,Occupant of pick-up truck or van injured in collision with pedestrian or animal: Unspecified occupant of pick-up truck or van injured in traffic accident,"Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom, putnik (nepoznat) dostavnog vozila ili kamiona povređen u saobraćajnom udesu","Лицо без дополнительного уточнения, находившееся в грузовом автомобиле типа пикап или фургон и пострадавшее в результате дорожного несчастного случая, при его столкновении с пешеходом или животным","#Putnik dostavnog vozila ili kamiona povređen u sudaru sa pešakom ili životinjom, putnik (nepoznat) dostavnog vozila ili kamiona povređen u saobraćajnom udesu"
V51,Occupant of pick-up truck or van injured in collision with pedal cycle,Putnik dostavnog vozila ili kamiona povređen u sudaru sa biciklom,"Лицо, находившееся в грузовом автомобиле типа пикап или фургоне и пострадавшее при его столкновении с велосипедистом",#Putnik dostavnog vozila ili kamiona povređen u sudaru sa biciklom
V51.0,Occupant of pick-up truck or van injured in collision with pedal cycle: Driver injured in nontraffic accident,"Putnik dostavnog vozila ili kamiona povređen u sudaru sa biciklom, vozač povređen u nesaobraćajnom udesu","Водитель, пострадавший в результате недорожного несчастного случая, при столкновении грузового автомобиля типа пикап или фургон с велосипидистом","#Putnik dostavnog vozila ili kamiona povređen u sudaru sa biciklom, vozač povređen u nesaobraćajnom udesu"
V51.1,Occupant of pick-up truck or van injured in collision with pedal cycle: Passenger injured in nontraffic accident,"Putnik dostavnog vozila ili kamiona povređen u sudaru sa biciklom, prolaznik povređen u nesaobraćajnom udesu","Пассажир, пострадавший в результате недорожного несчастного случая, при столкновении грузового автомобиля типа пикап или фургон с велосипидистом","#Putnik dostavnog vozila ili kamiona povređen u sudaru sa biciklom, prolaznik povređen u nesaobraćajnom udesu"
