number,group_num,group_name,code_length,code,diagnosis_sr,diagnosis_lat
8190,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R452,Bojazan,Angor
8191,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R453,Demoralizacija i bezvoljnost,Demoralisatio et apathia
8192,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R454,Razdražljivost i ljutnja,Irritabilitas et iracundia
8193,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R455,Neprijateljstvo,Inimicitia
8194,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R456,Fizičko nasilje,Violentia physica
8195,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R457,"Emocionalni šok i stres, neoznačen","Afflictus (shock) et violentia (stress) emotionallis, non specificatus"
8196,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R458,Drugi simptomi i znaci emocija,Simptomata et signa emotionalia alia
8197,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R46,Simptomi i znaci spoljašnjeg izgleda i ponašanja,Symptomata et signa aspectus externi et morum
8198,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R460,Veoma nizak nivo lične higijene,Gradus hygienae propriae humillis
8199,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R461,Neuobičajen lični izgled,Aspectus proprius inusitatus
8200,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R462,Čudno i neobjašnjivo ponašanje,Mores singulares et inxplicabiles
8201,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R463,Preterana aktivnost,Hyperactivitas
8202,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R464,Usporena i slaba ogovornost,Tarditas et negligentia
8203,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R465,Sumnjičavost i značajna neodlučnost,Suspicio et ambiguitas significans
8204,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R466,Preterana briga i zaokupljenost stresnim događajima,Cura supervacua et praeoccupatio violentia (stress) eventibus
8205,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R467,Brbljivost i nekritično ponašanje pri kontaktu,Loquacitas et mores ad contactum non critici
8206,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R468,Drugi simptomi i znaci spoljašnjeg izgleda i ponašanja,Symptomata et signa aspectus externi et morum alia
8207,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R47,"Poremećaji govora, neklasifikovani na drugom mestu","Disordines orationis, non alibi classificatae"
8208,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R470,Otežan govor i nemogućnost govora,Dysphasia et aphasia
8209,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R471,Otežano izgovaranje reči i nemogućnost izgovaranja reči,Dysarthria et anarthria
8210,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R478,Drugi i neoznačeni poremećaji govora,Disordines orationis alii et non specificati
8211,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R48,"Poremećaji čitanja i drugi poremećaji raspoznavanja znakova, neklasifikovani na drugom mestu","Dyslexia et dysfunctiones symbolicae aliae, non alibi classificatae"
8212,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R480,Poremećaj čitanja i nerazumevanje napisanih reči,Dyslexia et alexia
8213,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R481,Nesposobnost shvatanja značenja čulnih utisaka,Agnosia
8214,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R482,Nesposobnost izvođenja izvesnih radnji,Apraxia
8215,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R488,Drugi i neoznačeni poremećaji raspoznavanja znakova,Dysfunctiones symbolicae aliae et non specificatae
8216,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R49,Poremećaji glasa,Disordines vocales
8217,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R490,Otežano izgovaranje,Dysphonia
8218,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R491,Gubitak glasa,Aphonia
8219,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R492,Unjkav govor,Rhinobolia
8220,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R498,Drugi i neoznačeni poremećaji glasa,Disordines vocales aliae et non specificatae
8221,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R50,Groznica drugog nepoznatog porekla,Febris causae ignotae aliae
8222,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R502,Groznica izazvana lekom (medikamentom),Febris propter medicamentum
8223,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R508,Druga označena groznica,Febris specificata alia
8224,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R509,"Groznica, neoznačena","Febris, non specificata"
8225,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R51,Glavobolja,Cephalalgia
8226,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R52,"Bol, neklasifikovan na drugom mestu","Dolor, non alibi classificatus"
8227,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R520,Iznenadan bol,Dolor acutus
8228,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R521,Hroničan nepodnošljiv bol,Dolor intolerabilis chronicus
8229,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R522,Drugi hroničan bol,Dolor chronicus alius
8230,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R529,"Bol, neoznačen","Dolor, non specificatus"
8231,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R53,Klonulost i umor,Languor et lassitudo
8232,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R54,Starost,Senilitas
8233,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R55,Padanje u nesvest i iznenadna nedovoljna funkcija mozga i srca,Syncopa et collapsus
8234,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R56,"Konvulzije, neklasifikovane na drugom mestu","Convulsiones, non alibi classificatae"
8235,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R560,Konvulzije uzrokovane povišenom temperaturom tela,Convulsiones febriles
8236,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R568,Druge i neoznačene konvulzije,Convulsiones aliae et non specificatae
8237,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R57,"Šok, neklasifikovan na drugom mestu","Afflictus (shock), non alibi classificatus"
8238,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R570,Kardiogeni šok,Afflictus (shock) cardiacus
8239,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R571,Hipovolemijski šok,Afflictus (shock) hypovolaemicus
8240,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R572,Septični šok,Afflictus (shock) septicus
8241,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R578,Drugi šok,Afflictus (shock) alius
8242,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R579,"Šok, neoznačen","Afflictus (shock), non specificatus"
8243,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R58,"Krvarenje, neklasifikovano na drugom mestu","Haemorrhagia, non alibi classificata"
8244,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R59,Povećanje limfnih čvorova,Hypertrophia lymphonodorum
8245,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R590,Lokalizovano povećanje limfnih čvorova,Hypertrophia lymphonodorum localisata
8246,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R591,Generalizovano povećanje limfnih čvorova,Hypertrophia lymphonodorum generalisata
8247,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R599,"Povećanje limfnih čvorova, neoznačeno","Hypertrophia lymphonodorum, non specificata"
8248,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R60,"Edem, neklasifikovan na drugom mestu","Oedema, non alibi classificatum"
8249,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R600,Lokalizovani edem,Oedema localisatum
8250,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R601,Generalizovani edem,Oedema generalisatum
8251,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R609,"Edem, neoznačen","Oedema, non specificatum"
8252,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R61,Prekomerno znojenje,Hyperhydrosis
8253,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R610,Lokalizovano prekomerno znojenje,Hyperhydrosis localisata
8254,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R611,Generalizovano prekomerno znojenje,Hyperhydrosis generalisata
8255,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R619,"Prekomerno znojenje, neoznačeno","Hyperhydrosis, non specificata"
8256,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R62,Usporen fiziološki razvoj,Insufficientia evolutonis physiologicae
8257,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R620,Zaostalost u razvoju,Retardatio
8258,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R628,Drugi usporen fiziološki razvoj,Insufficientia evolutionis physiologicae alia
8259,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R629,"Usporen fiziološki razvoj, neoznačen","Insufficientia evolutionis physiologicae, non specificata"
8260,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R63,Simptomi i znaci pri uzimanju hrane i tečnosti,Symptomata et signa ad receptionem alimenti et liquoris
8261,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R630,Gubitak apetita,Anorexia
8262,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R631,Prekomerna žeđ,Polydipsia
8263,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R632,Prekomerno uzimanje hrane,Polyphagia
8264,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R633,Teškoće pri uzimanju hrane i loša regulacija,Difficultates ad receptionem alimenti et regulatio mala
8265,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R634,Nenormalni gubitak težine,Amissio ponderis abnormalis
8266,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R635,Nenormalno gojenje,Saginatus abnormalis
8267,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R636,Nedovoljan unos hrane i vode usled samozanemarivanja,Insuficientia receptionis alimenti et aquae propter neglecti am sui
8268,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R638,Drugi simptomi i znaci pri uzimanju hrane i tečnosti,Symptomata et signa ad receptionem alimenti et liquoris alia
8269,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R64,Izrazita mršavost,Cachexia
8270,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R65,Sindrom sistemskog inflamatornog (zapaljenskog) odgovora,Syndroma responsi inflammatorii systemici [SIRS]
8271,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R650,Sindrom sistemskog inflamatornog (zapaljenskog) odgovora infektivnog porekla bez otkazivanja organa,Syndroma responsi inflammatorii systemici infectivi sine defectu organorum
8272,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R651,Sindrom sistemskog inflamatornog (zapaljenskog) odgovora infektivnog porekla sa otkazivanjem organa,Syndroma responsi inflammatorii systemici infectivi cum defectu organorum
8273,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R652,Sindrom sistemskog inflamatornog (zapaljenskog) odgovora neinfektivnog porekla bez otkazivanja organa,Syndroma responsi inflammatorii systemici non infectivi sine defectu organorum
8274,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R653,Sindrom sistemskog inflamatornog (zapaljenskog) odgovora neinfektivnog porekla sa otkazivanjem organa,Syndroma responsi inflammatorii systemici non infectivi cum defectu organorum
8275,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R659,"Sindrom sistemskog inflamatornog (zapaljenskog) odgovora, neoznačen","Syndroma responsi inflammatorii systemici, non specificatum"
8276,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R68,Drugi opšti simptomi i znaci,Symptomata et signa generalia alia
8277,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R680,"Niska temperatura tela, koja nije povezana sa niskom spoljašnjom temperaturom",Hypothermia cum temperatura humili externa non coniuncta
8278,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R681,"Simptomi u dece, neoznačeni","Symptomata infantium, non specificata"
8279,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R682,"Suvoća usta, neoznačena","Siccitas oris, non specificata"
8280,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R683,Čvornovati prsti,Digiti nodulosi
8281,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R688,Drugi opšti označeni simptomi i znaci,"Symptomata et signa generalia alia, specificata"
8282,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R69,Nepoznati i neoznačeni uzroci oboljevanja,Causae morbiditatis incognitae et non specificatae
8283,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R70,Akutna povećana sedimentacija eritrocita i poremećaji viskoznosti plazme krvi,Hypersedimentatio erythrocytorum acuta et disordines viscositatis plasmatis
8284,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R700,Povećana sedimentacija,Hypersedimentatio
8285,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R701,Povećana viskoznost plazme,Hyperviscositas
8286,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R71,Poremećaji crvenih krvnih zrnaca,Disordines erythrocytorum
8287,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R72,"Nenormalnost belih krvnih zrnaca, neklasifikovana na drugom mestu",Abnormitas leucocytorum non alibi classificata
8288,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R73,Povišen nivo šećera u krvi,Hyperglycaemia
8289,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R730,Abnormalni nalaz testa opterećenja glukozom,Gradus glycosi abnormalis (test)
8290,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R739,"Povišen nivo šećera u krvi, neoznačen","Hyperglycaemia, non specificata"
8291,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R74,Nenormalan nivo enzima u serumu krvi,Gradus seroenzymarum abnormalis
8292,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R740,Povećane transaminaze i dehidrogenaze mlečne kiseline (LDH),Hypertransaminases et hyperdehydrogenases acidi lactei (LDH)
8293,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R748,Nenormalan nivo drugih enzima u serumu krvi,Gradus seroenzymarum aliarum abnormalis
8294,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R749,"Nenormalan nivo enzima u serumu krvi, neoznačen","Gradus seroenzymarum abnormalis, non specificatus"
8295,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R75,Laboratorijski dokaz o prisustvu virusa humane imunodeficijencije (HIV),Informationes laboratorii de humanae immunodeficientiae viro (HIV)
8296,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R76,Druge nenormalni imunološki nalazi u serumu,Abnormitates seroimmunologicae aliae
8297,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R760,Povećani titar antitela,Vibratio anticorporum acuta
8298,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R761,Abnormalna reakcija na tuberkulinski test,Reactio abnormalis in proba tuberculini
8299,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R762,Lažno pozitivna serološka reakcija na sifilis,Reactio serologica syphilitica falsepositiva
8300,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R768,Drugi označeni nenormalnan imunološki nalaz u serumu,"Abnormitates seroimmunologicae aliae, specificatae"
8301,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R769,"Nenormalan imunološki nalaz u serumu, neoznačen","Abnormitas immunologica, non specificata"
8302,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R77,Drugi poremećaji belančevina u krvi,Disordines proteini in sanguine alii
8303,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R770,Poremećaj albumina,Disordo albumini
8304,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R771,Poremećaj globulina,Disordo globulini
8305,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R772,Poremećaj alfafetoproteina,Disordo alfafetoproteini
8306,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R778,Drugi označeni poremećaji belančevina u krvi,"Disordines proteini in sanguine alii, specificati"
8307,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R779,"Poremećaj belančevina u krvi, neoznačen","Disordo proteini in sanguine, non specificatus"
8308,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R78,Lekovi i druge supstance u krvi kojih normalno nema,"Medicamenta et substantiae in sanguine, quae normale non sunt, aliae"
8309,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R780,Alkohol u krvi,Alcoholaemia
8310,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R781,Opijati u krvi,Opiataemia
8311,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R782,Kokain u krvi,Cocainaemia
8312,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R783,Halucinogen u krvi,Hallucinogenaemia
8313,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R784,Druge droge u krvi koje uzrokuju zavisnost,"Medicamenta narcotica in sanguine, cum potentia additiva, alia"
8314,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R785,Psihotropni lek u krvi,Medicamentum psychotropicum in sanguine
8315,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R786,Steroidi u krvi,Steroidaemia
8316,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R787,Povećanje količine teških metala u krvi,Hypermetallaemia
8317,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R788,Druge označene supstance u krvi kojih normalno nema,"Substantiae in sanguine, quae normale non sunt, aliae, specificatae"
8318,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R789,Neoznačena supstanca u krvi koje normalno nema,"Substantiae in sanguine, quae normale non sunt, non specificata"
8319,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R79,Drugi nenormalni hemijski nalazi krvi,Chemicaemiae abnormales aliae
8320,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R790,Poremećaj minerala u krvi,Disordo mineralium in sanguine
8321,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R798,Drugi označeni nenormalni hemijski nalazi krvi,"Chemicaemiae abnormales aliae, specificatae"
8322,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R799,"Nenormalan hemijski nalaz krvi, neoznačen","Chemicaemia abnormalis, non specificata"
8323,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R80,Belančevine u mokraći,Proteinuria isolata
8324,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R81,Šećer u mokraći,Glycosuria
8325,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R82,Drugi abnormalni nalaz mokraće,Abnormalitates urinae aliae
8326,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R820,Prisustvo mleča u mokraći,Chyluria
8327,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R821,Mioglobin u mokraći,Myoglobinuria
8328,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R822,Žuč u mokraći,Biliuria
8329,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R823,Hemoglobin u mokraći,Haemoglobinuria
8330,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R824,Aceton u mokraći,Acetonuria
8331,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R825,"Povećanje količine droga, lekova i bioloških supstanci u mokraći","Hypernarcoticuria, hypermedicamenturia et hypersubstantiuria biologica"
8332,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R826,"Nenormalan nivo supstanci u mokraći, uglavnom iz nemedicinskih razloga","Substantiae in urina abnormales, saepissime non medicinales"
8333,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R827,Nenormalan mikrobiloški nalaz mokraće,Status urinae microbiologicus abnormalis
8334,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R828,Nenormalni citološki i histološki nalazi mokraće,Status urinae cytologici et hystologici abnormales
8335,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R829,"Druga nenormalnost mokraće, neoznačena","Abnormalitates urinae aliae, non specificatae"
8336,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",3,R83,Nenormalna moždano-kičmena tečnost,Liquor cerebrospinalis abnormalis
8337,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R830,"Nenormalna moždano-kičmena tečnost, nenormalna koncentracija enzima","Liquor cerebrospinalis abnormalis, enzyme abnormalis"
8338,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R831,"Nenormalna moždano-kičmena tečnost, nenormalna koncentracija hormona","Liquor cerebrospinalis abnormalis, hormonum abnormale"
8339,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R832,"Nenormalna moždano-kičmena tečnost, nenormalna koncentracija ostalih droga, lekova i bioloških supstanci","Liquor cerebrospinalis abnormalis, narcotica, medicamenta et substantiae biologicae abnormales"
8340,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R833,"Nenormalna moždano-kičmena tečnost, nenormalna koncentracija supstanci uglavnom nemedicinskog porekla","Liquor cerebrospinalis abnormalis, substantia non medicinalis abnormalis"
8341,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R834,"Nenormalna moždano-kičmena tečnost, nenormalni imunološki nalazi","Liquor cerebrospinalis abnormalis, immunologia abnormalis"
8342,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R835,"Nenormalna moždano-kičmena tečnost, nenormalni mikrobiološki nalazi","Liquor cerebrospinalis abnormalis, microbiologia abnormalis"
8343,18,"Simptomi, znaci i patološki klinički i laboratorijski nalazi, neklasifikovani na drugom mestu",4,R836,"Nenormalna moždano-kičmena tečnost, nenormalni citološki nalazi","Liquor cerebrospinalis abnormalis, cultura cytologica abnormalis"
